NUMERICAL CODE,CTRY_NAME,ISO_3_CODE,ALUMNI_NAME,ALUMNI,INT_STU_NAME,INT_STUDENTS
659,St. Kitts and Nevis,KNA,St. Kitts and Nevis,,Saint Kitts and Nevis,2
662,Saint Lucia,LCA,Saint Lucia,,Saint Lucia,2
670,Saint Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines,,Saint Vincent and the Grenadines,1
729,Sudan,SDN,Sudan,9,Sudan,4
740,Suriname,SUR,Suriname,1,Suriname,2
748,Swaziland,SWZ,Swaziland,8,,
752,Sweden,SWE,Sweden,91,Sweden,11
756,Switzerland,CHE,Switzerland,398,Switzerland,28
760,Syrian Arab Republic,SYR,Syria,6,Syria,11
762,Tajikistan,TJK,Tajikistan,1,Tajikistan,2
158,Taiwan,TWN,Taiwan,360,Taiwan,183
834,United Republic of Tanzania,TZA,Tanzania,60,Tanzania,16
764,Thailand,THA,Thailand,176,Thailand,42
776,Tonga,TON,Tonga,2,,
780,Trinidad and Tobago,TTO,Trinidad and Tobago,435,Trinidad and Tobago,46
788,Tunisia,TUN,Tunisia,8,Tunisia,5
792,Turkey,TUR,Turkey,94,Turkey,115
796,Turks and Caicos Islands,TCA,Turks and Caicos Islands,5,,
800,Uganda,UGA,Uganda,32,Uganda,10
804,Ukraine,UKR,Ukraine,15,Ukraine,33
784,United Arab Emirates,ARE,United Arab Emirates,239,United Arab Emirates,18
826,United Kingdom of Great Britain and Northern Ireland,GBR,United Kingdom,2840,United Kingdom,204
840,United States of America,USA,United States of America,24055,United States of America,607
858,Uruguay,URY,Uruguay,8,Uruguay,2
860,Uzbekistan,UZB,Uzbekistan,2,Uzbekistan,1
548,Vanuatu,VUT,Vanuatu,1,,
862,Venezuela (Bolivarian Republic of),VEN,Venezuela,72,Venezuela,36
704,Viet Nam,VNM,Vietnam,36,Vietnam,75
92,British Virgin Islands,VGB,British Virgin Islands,7,,
850,United States Virgin Islands,VIR,US Virgin Islands,11,US Virgin Islands,1
876,Wallis and Futuna Islands,WLF,Wallis and Futuna,1,,
887,Yemen,YEM,Yemen,1,Yemen,11
894,Zambia,ZMB,Zambia,54,Zambia,1
716,Zimbabwe,ZWE,Zimbabwe,28,Zimbabwe,4
408,"Korea, Democratic People's Republic of",PRK,North Korea,5,,
